therapy,scenario,from_state,to_state,probability_per_8wk_cycle,variable_name
TREG,base,Remission,Death,6e-05,p_treg_remission_death
TREG,alpha,Remission,Death,6e-05,p_treg_alpha_remission_death
TREG,beta,Remission,Death,6e-05,p_treg_beta_remission_death
TREG,base,Surgery,Mod/Sev,0.042,p_treg_surgery_nonresp
TREG,alpha,Surgery,Mod/Sev,0.03645,p_treg_alpha_surgery_nonresp
TREG,beta,Surgery,Mod/Sev,0.02835,p_treg_beta_surgery_nonresp
TREG,base,Surgery,Mod/Sev Response,0.0276,p_treg_surgery_resp
TREG,alpha,Surgery,Mod/Sev Response,0.024030000000000003,p_treg_alpha_surgery_resp
TREG,beta,Surgery,Mod/Sev Response,0.01869,p_treg_beta_surgery_resp
TREG,base,Surgery,Mild,0.228,p_treg_surgery_mild
TREG,alpha,Surgery,Mild,0.027820239954564816,p_treg_alpha_surgery_mild
TREG,beta,Surgery,Mild,0.03006071986369445,p_treg_beta_surgery_mild
TREG,base,Surgery,Remission,0,p_treg_surgery_remission
TREG,alpha,Surgery,Remission,0.7060297600454352,p_treg_alpha_surgery_remission
TREG,beta,Surgery,Remission,0.763029280136306,p_treg_beta_surgery_remission
TREG,base,Surgery,Surgery,0.7023400000000001,p_treg_surgery_surgery
TREG,alpha,Surgery,Surgery,0.20547,p_treg_alpha_surgery_surgery
TREG,beta,Surgery,Surgery,0.15980999999999998,p_treg_beta_surgery_surgery
TREG,base,Surgery,Death,6e-05,p_treg_surgery_death
TREG,alpha,Surgery,Death,6e-05,p_treg_alpha_surgery_death
TREG,beta,Surgery,Death,6e-05,p_treg_beta_surgery_death
UST,base,Mod/Sev,Mod/Sev,0.791,p_ust_modsev_nonresp
UST,base,Mod/Sev,Mod/Sev Response,0.0377,p_ust_modsev_resp
UST,base,Mod/Sev,Mild,0.0377,p_ust_modsev_mild
UST,base,Mod/Sev,Remission,0.133,p_ust_modsev_remission
UST,base,Mod/Sev,Surgery,0,p_ust_modsev_surgery
UST,base,Mod/Sev,Death,0,p_ust_modsev_death
UST,base,Mod/Sev Response,Mod/Sev,0.14697729565809659,p_ust_resp_nonresp
UST,base,Mod/Sev Response,Mod/Sev Response,0.4058031012812923,p_ust_resp_resp
UST,base,Mod/Sev Response,Mild,0.4058031012812923,p_ust_resp_mild
UST,base,Mod/Sev Response,Remission,0,p_ust_resp_remission
UST,base,Mod/Sev Response,Surgery,0.041308579828535794,p_ust_resp_surgery
UST,base,Mod/Sev Response,Death,0.00010792195078298432,p_ust_resp_death
UST,base,Mild,Mod/Sev,0.15594666714911248,p_ust_mild_nonresp
UST,base,Mild,Mod/Sev Response,0.4067752567144808,p_ust_mild_resp
UST,base,Mild,Mild,0.4067752567144808,p_ust_mild_mild
UST,base,Mild,Remission,0.030394638929720916,p_ust_mild_remission
UST,base,Mild,Surgery,0,p_ust_mild_surgery
UST,base,Mild,Death,0.00010818049220487763,p_ust_mild_death
UST,base,Remission,Mod/Sev,0,p_ust_remission_nonresp
UST,base,Remission,Mod/Sev Response,0,p_ust_remission_resp
UST,base,Remission,Mild,0.06613586298832234,p_ust_remission_mild
UST,base,Remission,Remission,0.9336400835339286,p_ust_remission_remission
UST,base,Remission,Surgery,0,p_ust_remission_surgery
UST,base,Remission,Death,0.00022405347774901796,p_ust_remission_death
UST,base,Surgery,Mod/Sev,0.04053721745018844,p_ust_surgery_nonresp
UST,base,Surgery,Mod/Sev Response,0.02670682630921707,p_ust_surgery_resp
UST,base,Surgery,Mild,0.02670682630921707,p_ust_surgery_mild
UST,base,Surgery,Remission,0.6775638261394136,p_ust_surgery_remission
UST,base,Surgery,Surgery,0.2283226537286116,p_ust_surgery_surgery
UST,base,Surgery,Death,0.0001626500633522675,p_ust_surgery_death
IFX,base,Mod/Sev,Mod/Sev,0.756,p_ifx_modsev_nonresp
IFX,base,Mod/Sev,Mod/Sev Response,0.0208,p_ifx_modsev_resp
IFX,base,Mod/Sev,Mild,0.0208,p_ifx_modsev_mild
IFX,base,Mod/Sev,Remission,0.203,p_ifx_modsev_remission
IFX,base,Mod/Sev,Death,0,p_ifx_modsev_death
IFX,base,Mod/Sev Response,Mod/Sev Non-Resp,0.07773190717177816,p_ifx_resp_nonresp
IFX,base,Mod/Sev Response,Mod/Sev Response,0.4391237646297464,p_ifx_resp_resp
IFX,base,Mod/Sev Response,Mild,0.4391237646297464,p_ifx_resp_mild
IFX,base,Mod/Sev Response,Remission,0,p_ifx_resp_remission
