category,parameter,base_value,low_value,high_value,nmb_ifx_base,nmb_ifx_low,nmb_ifx_high,nmb_treg_base,nmb_treg_low,nmb_treg_high,nmb_ust_base,nmb_ust_low,nmb_ust_high
EQ-5D Utility,Remission,0.82,0.66,0.98,571455876.0015044,403887777.01876795,635166194.8664985,591790924.3269428,410316791.0508989,648460839.4350082,511619508.6054871,352662681.38497573,581188559.5682619
EQ-5D Utility Ratio,Mild:Remission Ratio,0.89,0.8,0.98,571455876.0015044,483795740.23605955,555258231.6492074,591790924.3269428,498631715.2615987,560145915.224308,511619508.6054871,428836020.34737825,505015220.6058589
EQ-5D Utility Ratio,M-SR:Mild Ratio,0.89,0.8,0.98,571455876.0015044,497468198.9308598,541585772.9544069,591790924.3269428,511572118.6884439,547205511.797463,511619508.6054871,443262415.01253724,490588825.9406998
EQ-5D Utility Ratio,M-S:M-SR Ratio,0.87,0.79,0.96,571455876.0015044,510987211.0917443,529134232.6498833,591790924.3269428,522791295.39232326,536811025.0749123,511619508.6054871,457615361.39298785,477399661.94570315
EQ-5D Utility Ratio,Surgery:M-SR Ratio,0.87,0.79,0.96,571455876.0015044,517574143.4972743,521723933.6936623,591790924.3269428,527804313.8843988,531573599.2713274,511619508.6054871,464812473.3454199,469302910.9992169
Direct Cost,Treg,19917,9958.5,29875.5,571455876.0015044,519526985.9426333,519526985.9426333,591790924.3269428,543772960.8667488,515004669.6191578,511619508.6054871,466925620.47661865,466925620.47661865
Direct Cost,"FSS IFX Unit Cost (100 mg Vial), September 2017 USD",1068.2,854.5600000000001,1281.8400000000001,571455876.0015044,520854221.95470506,518199749.9305613,591790924.3269428,529388815.2429533,529388815.2429533,511619508.6054871,466925620.47661865,466925620.47661865
Dosing interval,Treg # annual doses,2,1,3,571455876.0015044,519526985.9426333,519526985.9426333,591790924.3269428,538240106.4905443,520652607.30074894,511619508.6054871,466925620.47661865,466925620.47661865
Treg Efficacy,Advantage over UST,0.2,0.1,0.3,571455876.0015044,519526985.9426333,519526985.9426333,591790924.3269428,517025416.8540443,617814225.9101392,511619508.6054871,466925620.47661865,466925620.47661865
